Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,JPM,V,MA,JNJ,PG,HD,KO,PEP,PFE,ABBV,MRK,BAC,WMT,DIS,NFLX,ADBE,CRM,NKE,MCD,XOM,CVX,INTC,AMD
2020-01-02,72.40050506591797,152.15838623046875,94.90049743652344,67.87303161621094,208.3247833251953,5.971077919006348,28.68400001525879,119.0363998413086,182.80926513671875,292.8985595703125,122.63821411132812,105.5240249633789,189.98941040039062,45.74510955810547,112.11241149902344,27.494844436645508,69.26617431640625,72.6273422241211,30.587553024291992,36.433837890625,144.790283203125,32.98099899291992,334.42999267578125,164.9853973388672,93.65167236328125,173.79391479492188,53.3064079284668,92.0177230834961,53.66646957397461,49.099998474121094
2020-01-03,71.69664001464844,150.26376342773438,93.74849700927734,67.51795196533203,207.22247314453125,5.875504493713379,29.534000396728516,117.46556854248047,181.35536193847656,290.0408630371094,121.21833038330078,104.81430053710938,189.3579559326172,45.49553680419922,111.95556640625,27.347318649291992,68.60868072509766,72.00397491455078,29.95246124267578,36.112186431884766,143.12937927246094,32.59000015258789,331.80999755859375,164.1752471923828,93.39509582519531,173.1793975830078,52.87784957885742,91.699462890625,53.01372146606445,48.599998474121094
2020-01-06,72.26793670654297,150.6521453857422,95.14399719238281,69.3176040649414,211.12522888183594,5.900144100189209,30.1026668548584,117.37215423583984,180.9631805419922,290.8132019042969,121.06714630126953,104.95965576171875,190.24888610839844,45.47890090942383,112.38478088378906,27.312192916870117,69.15013122558594,72.31171417236328,29.909557342529297,36.03867721557617,142.29893493652344,33.58300018310547,333.7099914550781,171.3678436279297,93.31261444091797,175.12689208984375,53.28385543823242,91.38875579833984,52.863765716552734,48.38999938964844
2020-01-07,71.92804718017578,149.278564453125,95.34300231933594,69.18370056152344,211.58203125,5.9715752601623535,31.270666122436523,115.37677001953125,180.48492431640625,289.8284912109375,121.80645751953125,104.30979919433594,189.00338745117188,45.12950897216797,110.61833190917969,27.22087860107422,68.75565338134766,70.38633728027344,29.712154388427734,35.70478057861328,142.34779357910156,33.07500076293945,333.3900146484375,173.88722229003906,93.26679992675781,175.38653564453125,52.847782135009766,90.22175598144531,51.98167037963867,48.25
2020-01-08,73.08511352539062,151.6563262939453,94.59850311279297,69.67613983154297,213.72703552246094,5.982774257659912,32.80933380126953,116.27679443359375,183.57447814941406,294.9423828125,121.78968811035156,104.75444793701172,191.83169555664062,45.21269989013672,111.1878890991211,27.438644409179688,69.2429428100586,69.91289520263672,30.012544631958008,35.58225631713867,142.0546875,33.92599868774414,337.8699951171875,175.20127868652344,93.05604553222656,178.22555541992188,52.05080795288086,89.19119262695312,52.01695251464844,47.83000183105469
2020-01-09,74.63748931884766,153.55093383789062,95.05249786376953,70.4075927734375,216.78567504882812,6.0484819412231445,32.089332580566406,116.70136260986328,184.84666442871094,298.8092346191406,122.15091705322266,105.9002456665039,194.77244567871094,46.03627014160156,111.26219177246094,27.319223403930664,69.77667236328125,70.52839660644531,30.064035415649414,35.94984436035156,141.497802734375,33.566001892089844,340.45001220703125,177.44403076171875,92.99191284179688,180.3374786376953,52.44929885864258,89.04720306396484,52.308040618896484,48.970001220703125
2020-01-10,74.80622863769531,152.84051513671875,94.15799713134766,70.86231231689453,216.54736328125,6.080837726593018,31.876667022705078,115.53811645507812,185.34400939941406,300.8103332519531,121.87366485595703,106.00284576416016,193.9334716796875,46.194313049316406,111.04756927490234,27.74070167541504,68.88714599609375,70.64674377441406,29.815147399902344,35.64965057373047,141.2926483154297,32.904998779296875,339.80999755859375,178.0368194580078,92.46041870117188,179.40267944335938,51.98314666748047,88.23638916015625,51.99049377441406,48.16999816894531
2020-01-13,76.4044189453125,154.6782684326172,94.56500244140625,71.41129302978516,220.3706512451172,6.271485328674316,34.990665435791016,116.49761199951172,186.83621215820312,304.7157897949219,122.41136932373047,106.78096771240234,193.1723175048828,46.693443298339844,112.69847869873047,27.684511184692383,68.46945190429688,70.63095092773438,30.089778900146484,35.496482849121094,140.56968688964844,33.891998291015625,345.6300048828125,181.64300537109375,93.61499786376953,178.74484252929688,52.479373931884766,88.4030990600586,52.5638542175293,48.75
2020-01-14,75.3727035522461,153.58885192871094,93.47200012207031,70.94316101074219,217.5404052734375,6.154508113861084,35.861331939697266,117.8561782836914,187.52493286132812,300.2979736328125,123.10030364990234,106.6185073852539,192.7138671875,46.58530044555664,112.96263885498047,28.148143768310547,69.1436538696289,70.9623794555664,30.312925338745117,35.5883903503418,141.85926818847656,33.86899948120117,344.6300048828125,179.9337615966797,94.31143188476562,179.44593811035156,52.02825164794922,88.13032531738281,52.42272186279297,48.209999084472656
2020-01-15,75.04969024658203,154.58352661132812,93.10099792480469,71.37012481689453,219.61590576171875,6.111947059631348,34.56666564941406,116.08998107910156,191.11181640625,303.7877197265625,123.51200103759766,107.70445251464844,194.2534637451172,47.16761779785156,114.90240478515625,28.56963348388672,69.9746322631836,72.23280334472656,29.755067825317383,35.312705993652344,140.9995574951172,33.90700149536133,342.94000244140625,178.88650512695312,94.19232940673828,181.56654357910156,51.94554901123047,88.00147247314453,51.99049377441406,48.54999923706055
2020-01-16,75.98979949951172,157.4160919189453,93.89700317382812,71.91363525390625,220.2316131591797,6.1955742835998535,34.232666015625,116.5400619506836,192.21180725097656,309.6363220214844,124.51175689697266,107.79850006103516,197.91212463378906,47.267459869384766,115.24083709716797,28.527481079101562,69.9746322631836,71.94873809814453,29.797985076904297,35.502620697021484,141.7811279296875,33.86199951171875,345.3800048828125,180.4969024658203,94.72380065917969,182.5013885498047,51.742549896240234,88.57738494873047,52.6255989074707,49.77000045776367
2020-01-17,76.83109283447266,158.29702758789062,93.23600006103516,73.3696060180664,220.59906005859375,6.204286098480225,34.03333282470703,117.34668731689453,195.7987060546875,312.8844909667969,125.32674407958984,108.08924102783203,200.58474731445312,47.367271423339844,116.60282897949219,28.457239151000977,68.98686981201172,71.78303527832031,29.78939437866211,35.21466827392578,141.0093231201172,33.96699905395508,349.739990234375,180.04241943359375,95.78678894042969,183.47946166992188,51.547061920166016,87.5846939086914,52.57267379760742,50.93000030517578
2020-01-21,76.31041717529297,157.72865295410156,94.5999984741211,73.50497436523438,219.90391540527344,6.170934677124023,36.47999954223633,116.19192504882812,198.2760772705078,311.21209716796875,125.4107666015625,107.81559753417969,201.48422241210938,47.5586051940918,117.09809112548828,28.33781623840332,68.97903442382812,70.99393463134766,29.40318489074707,35.40766143798828,140.25701904296875,33.81100082397461,350.0,183.0459442138672,95.83260345458984,182.7696990966797,50.81025695800781,85.864501953125,53.4106559753418,51.04999923706055
2020-01-22,76.58280944824219,156.9707489013672,94.37300109863281,73.58531951904297,219.7847442626953,6.2249436378479,37.97066879272461,116.05603790283203,198.85958862304688,313.5126953125,124.55379486083984,108.00371551513672,201.44100952148438,47.92463684082031,118.35281372070312,28.232439041137695,68.36754608154297,70.7414321899414,29.489015579223633,35.563880920410156,140.69668579101562,32.599998474121094,350.05999755859375,180.5561981201172,95.7501220703125,183.01205444335938,50.51702880859375,85.55384826660156,55.33362579345703,51.43000030517578
2020-01-23,76.95162963867188,157.9370574951172,94.22899627685547,73.6259765625,218.23558044433594,6.2933878898620605,38.14666748046875,115.9371566772461,197.53961181640625,314.1605224609375,124.78905487060547,107.5099868774414,202.08969116210938,48.10763931274414,118.5756607055664,28.59772300720215,66.84669494628906,69.88134002685547,29.283035278320312,35.47504806518555,138.92831420898438,34.959999084472656,351.760009765625,181.7714080810547,94.40308380126953,184.725830078125,50.20124435424805,85.70538330078125,55.85404968261719,51.709999084472656
2020-01-24,76.7298355102539,156.34552001953125,93.08200073242188,72.70758056640625,216.42816162109375,6.2341532707214355,37.654666900634766,113.0587158203125,196.085693359375,312.8941345214844,124.61261749267578,107.6390151977539,200.66258239746094,47.98286819458008,117.97309112548828,27.972522735595703,65.49048614501953,67.84550476074219,28.785263061523438,35.03394317626953,136.85708618164062,35.316001892089844,351.3699951171875,179.92388916015625,93.49589538574219,182.83889770507812,49.862918853759766,84.75814819335938,60.3968391418457,50.349998474121094
2020-01-27,74.47354888916016,153.7309112548828,91.41699981689453,70.99967956542969,213.37948608398438,5.978296279907227,37.201332092285156,112.10769653320312,192.91964721679688,305.2571716308594,124.97384643554688,108.11209106445312,199.9619903564453,47.81648635864258,117.3292236328125,28.211362838745117,65.86678314208984,67.94017791748047,28.19307518005371,35.490352630615234,132.77325439453125,34.28799819946289,346.8999938964844,178.54067993164062,91.85560607910156,181.19435119628906,48.67498779296875,83.65180206298828,57.944618225097656,49.2599983215332
2020-01-28,76.58039093017578,156.7434539794922,92.6624984741211,71.93048858642578,216.2792205810547,6.171682357788086,37.793331146240234,114.14555358886719,194.02920532226562,309.60736083984375,125.60398864746094,108.40455627441406,202.2714080810547,47.425506591796875,117.57685852050781,26.792369842529297,65.67081451416016,68.0585708618164,28.527793884277344,35.717041015625,135.1864471435547,34.85200119018555,354.6300048828125,180.65499877929688,92.01139831542969,182.10321044921875,48.607322692871094,84.2049789428711,59.37360382080078,50.529998779296875
2020-01-29,78.18340301513672,159.18753051757812,92.9000015258789,72.23795318603516,221.68148803710938,6.111201286315918,38.732666015625,113.9757308959961,195.95179748535156,309.65570068359375,126.477783203125,107.5701904296875,202.40975952148438,47.425506591796875,116.99079895019531,26.39898681640625,65.22395324707031,68.83973693847656,28.33038902282715,35.49955749511719,132.92958068847656,34.316001892089844,351.6600036621094,179.58795166015625,91.48905181884766,185.6087188720703,48.201324462890625,83.63663482666016,58.50914764404297,47.5099983215332
2020-01-30,78.07009887695312,163.67779541015625,93.53399658203125,72.116455078125,208.0765380859375,6.117921829223633,42.72066879272461,115.3852310180664,199.15609741210938,313.6578063964844,126.32650756835938,108.33573913574219,201.3458709716797,48.964481353759766,118.72422790527344,26.30672836303711,64.1107406616211,68.25581359863281,28.733762741088867,35.71091842651367,134.6393280029297,34.77399826049805,356.739990234375,183.4411163330078,89.97706604003906,187.11474609375,48.71257781982422,84.41714477539062,58.632652282714844,48.779998779296875
2020-01-31,74.60858917236328,161.2621307373047,100.43599700927734,71.0517578125,200.50938415527344,5.884464740753174,43.371334075927734,112.38792419433594,190.31790161132812,305.4215087890625,125.07469940185547,107.19174194335938,197.28939819335938,48.581817626953125,117.23016357421875,26.427364349365234,63.51493453979492,67.41940307617188,28.1759090423584,35.07070541381836,135.12782287597656,34.50899887084961,351.1400146484375,180.1214599609375,88.24517822265625,185.20193481445312,46.70513916015625,81.1889877319336,56.392127990722656,47.0
2020-02-03,74.40367889404297,165.19351196289062,100.20999908447266,73.5223388671875,202.77357482910156,5.981530666351318,52.0,113.2455062866211,192.07789611816406,313.7158203125,126.1668930053711,107.61321258544922,200.26470947265625,48.731563568115234,117.63465118408203,26.618976593017578,64.5184097290039,68.91865539550781,28.296064376831055,35.003318786621094,138.0685577392578,35.79999923706055,358.0,183.19412231445312,90.96675109863281,186.24917602539062,45.660064697265625,80.53729248046875,56.82435989379883,48.02000045776367
2020-02-04,76.86001586914062,170.63111877441406,102.4834976196289,71.67808532714844,208.3744354248047,6.150775909423828,59.137332916259766,114.87577819824219,194.7083282470703,318.1626281738281,127.36833190917969,108.08628845214844,203.25735473632812,48.947837829589844,118.22074127197266,26.746706008911133,66.13331604003906,69.7235107421875,28.85392189025879,35.30962371826172,141.40011596679688,36.9010009765625,366.739990234375,186.07908630371094,92.9002456665039,185.7644500732422,45.08864974975586,80.96923828125,57.74173355102539,49.45000076293945
2020-02-05,77.48675537109375,170.42269897460938,101.99349975585938,71.7098159790039,208.6524658203125,6.241122245788574,48.97999954223633,116.82872772216797,193.99093627929688,317.38934326171875,129.37632751464844,109.0754623413086,205.947265625,48.95616149902344,119.11222839355469,27.08734130859375,67.9128646850586,67.72714233398438,29.78939437866211,35.7813720703125,138.11740112304688,36.96699905395508,365.54998779296875,183.26332092285156,92.13053131103516,185.548095703125,47.16376876831055,83.56843566894531,59.40005874633789,49.84000015258789
2020-02-06,78.39312744140625,173.95623779296875,102.5114974975586,73.19355773925781,209.38734436035156,6.3279829025268555,49.930667877197266,116.84574890136719,194.2109375,318.3367004394531,128.98983764648438,109.35931396484375,206.57862854003906,49.0726318359375,119.13694763183594,27.151214599609375,68.34403991699219,67.60874938964844,29.755067825317383,35.628204345703125,139.41680908203125,36.69499969482422,367.4599914550781,184.4884033203125,91.88310241699219,184.2498016357422,46.52469253540039,82.96978759765625,59.470977783203125,49.31999969482422
2020-02-07,77.32752227783203,174.20249938964844,103.96399688720703,73.34925842285156,210.8571319580078,6.261780261993408,49.871334075927734,116.47209167480469,193.92396545410156,316.11322021484375,127.61198425292969,108.44754791259766,205.24667358398438,49.2390022277832,119.99543762207031,27.00218963623047,72.34998321533203,67.13531494140625,29.703577041625977,35.67109298706055,137.7754669189453,36.676998138427734,366.0899963378906,183.49053955078125,91.12252044677734,183.1591796875,46.216434478759766,82.55301666259766,58.522491455078125,49.72999954223633
2020-02-10,77.6948013305664,178.75912475585938,106.69550323486328,74.81465148925781,211.58203125,6.545013904571533,51.41866683959961,116.95614624023438,197.03265380859375,319.2840576171875,127.58677673339844,108.52493286132812,208.10958862304688,49.70485305786133,120.2348403930664,26.831867218017578,74.27847290039062,67.5929946899414,29.772233963012695,35.30350875854492,139.30934143066406,37.106998443603516,370.0,186.84971618652344,91.65400695800781,184.5440673828125,45.72833251953125,83.19710540771484,58.85047149658203,52.2599983215332
2020-02-11,77.22605895996094,174.72352600097656,107.54000091552734,74.88407897949219,205.7527618408203,6.66746711730957,51.62533187866211,117.17689514160156,195.07180786132812,319.90277099609375,127.69602966308594,106.79606628417969,209.00048828125,49.57175064086914,120.58148956298828,27.030569076538086,75.25840759277344,67.26947784423828,29.840898513793945,35.34945297241211,137.7656707763672,37.36899948120117,369.2799987792969,186.83985900878906,91.65400695800781,186.7252655029297,46.163047790527344,84.27317810058594,59.7546501159668,53.79999923706055
2020-02-12,79.05999755859375,174.9792938232422,108.0,75.30906677246094,209.29798889160156,6.783198833465576,51.15266799926758,117.17689514160156,198.41958618164062,323.034912109375,126.93988800048828,106.18534851074219,208.95716857910156,49.42201232910156,120.58148956298828,26.782188415527344,76.6616439819336,65.6912841796875,29.969633102416992,35.487300872802734,138.5863800048828,38.000999450683594,374.2900085449219,187.1856689453125,94.3847427368164,188.22265625,46.7274055480957,84.90213012695312,59.798973083496094,53.88999938964844
2020-02-13,78.49699401855469,174.03201293945312,107.49349975585938,75.0492172241211,211.66151428222656,6.739396095275879,53.599998474121094,117.07501220703125,198.66859436035156,324.6590270996094,126.09967041015625,107.48416137695312,209.62319946289062,49.5883903503418,120.9034194946289,26.207382202148438,74.74884796142578,64.68128204345703,29.961042404174805,35.97434997558594,137.65821838378906,38.13999938964844,374.8399963378906,186.37550354003906,94.72380065917969,188.1880340576172,46.46809768676758,84.61417388916016,59.78123092651367,54.529998779296875
2020-02-14,78.51634216308594,175.58560180664062,106.74349975585938,75.31403350830078,212.69422912597656,7.212532043457031,53.33533477783203,116.7183609008789,201.4369659423828,329.59881591796875,126.13330841064453,108.49915313720703,211.93255615234375,49.8712272644043,121.3326644897461,25.909324645996094,73.72972869873047,65.21784973144531,29.909557342529297,36.112186431884766,136.3295135498047,38.040000915527344,379.6700134277344,187.66976928710938,94.87957763671875,187.90235900878906,46.25456237792969,84.391845703125,59.63052749633789,55.310001373291016
