Date,portfolio_return,portfolio_value
2020-01-02,0.0,10000.0
2020-01-03,0.0,10000.0
2020-01-06,0.0,10000.0
2020-01-07,0.0,10000.0
2020-01-08,0.0,10000.0
2020-01-09,0.0,10000.0
2020-01-10,0.0,10000.0
2020-01-13,0.0,10000.0
2020-01-14,0.0,10000.0
2020-01-15,0.0,10000.0
2020-01-16,0.0,10000.0
2020-01-17,0.0,10000.0
2020-01-21,0.0,10000.0
2020-01-22,0.0,10000.0
2020-01-23,0.0,10000.0
2020-01-24,0.0,10000.0
2020-01-27,0.0,10000.0
2020-01-28,0.0,10000.0
2020-01-29,0.0,10000.0
2020-01-30,0.0,10000.0
2020-01-31,0.0,10000.0
2020-02-03,0.0,10000.0
2020-02-04,0.0,10000.0
2020-02-05,0.0,10000.0
2020-02-06,0.0,10000.0
2020-02-07,0.0,10000.0
2020-02-10,0.0,10000.0
2020-02-11,0.0,10000.0
2020-02-12,0.0,10000.0
2020-02-13,0.0,10000.0
2020-02-14,0.0,10000.0
2020-02-18,0.0,10000.0
2020-02-19,0.0,10000.0
2020-02-20,0.0,10000.0
2020-02-21,0.0,10000.0
2020-02-24,0.0,10000.0
2020-02-25,0.0,10000.0
2020-02-26,0.0,10000.0
2020-02-27,0.0,10000.0
2020-02-28,0.0,10000.0
2020-03-02,0.0,10000.0
2020-03-03,0.0,10000.0
2020-03-04,0.0,10000.0
2020-03-05,0.0,10000.0
2020-03-06,0.0,10000.0
2020-03-09,0.0,10000.0
2020-03-10,0.0,10000.0
2020-03-11,0.0,10000.0
2020-03-12,0.0,10000.0
2020-03-13,0.0,10000.0
2020-03-16,0.0,10000.0
2020-03-17,0.0,10000.0
2020-03-18,0.0,10000.0
2020-03-19,0.0,10000.0
2020-03-20,0.0,10000.0
2020-03-23,0.0,10000.0
2020-03-24,0.0,10000.0
2020-03-25,0.0,10000.0
2020-03-26,0.0,10000.0
2020-03-27,0.0,10000.0
2020-03-30,0.0,10000.0
2020-03-31,0.0,10000.0
2020-04-01,0.0,10000.0
2020-04-02,0.0,10000.0
2020-04-03,0.0,10000.0
2020-04-06,0.0,10000.0
2020-04-07,0.0,10000.0
2020-04-08,0.0,10000.0
2020-04-09,0.0,10000.0
2020-04-13,0.0,10000.0
2020-04-14,0.0,10000.0
2020-04-15,0.0,10000.0
2020-04-16,0.0,10000.0
2020-04-17,0.0,10000.0
2020-04-20,0.0,10000.0
2020-04-21,0.0,10000.0
2020-04-22,0.0,10000.0
2020-04-23,0.0,10000.0
2020-04-24,0.0,10000.0
2020-04-27,0.0,10000.0
2020-04-28,0.0,10000.0
2020-04-29,0.0,10000.0
2020-04-30,0.0,10000.0
2020-05-01,0.0,10000.0
2020-05-04,0.019202670545291067,10192.02670545291
2020-05-05,0.01000852323550734,10294.033841551347
2020-05-06,0.0029121088397469313,10324.011188497983
2020-05-07,0.008790897819403022,10414.768515942444
2020-05-08,0.01893464423096443,10611.968452539662
2020-05-11,0.008583985774600855,10703.061438776775
2020-05-12,-0.016057479923510642,10531.197244603516
2020-05-13,-0.010913342888422729,10416.266678047545
2020-05-14,0.010335809087281536,10523.927221834057
2020-05-15,0.014784980317548971,10679.523278672192
2020-05-18,0.014803854391663563,10837.621386262035
2020-05-19,-0.006621599206119044,10765.859001094545
2020-05-20,0.01656946062599992,10944.243477918248
2020-05-21,-0.005237626769891856,10886.92161530209
2020-05-22,0.004212297321348179,10932.780566059953
2020-05-26,-0.006229931531376488,10864.670091685837
2020-05-27,0.000558685091772604,10870.74002089309
2020-05-28,-0.0020797540608150982,10848.131555190572
2020-05-29,0.014207537730782684,11002.256793569435
2020-06-01,0.011694816094266125,11130.926163392118
2020-06-02,0.002993479747222772,11164.246365430066
2020-06-03,0.006054746269651723,11231.843044464627
2020-06-04,-0.009819352118817248,11121.553622667741
2020-06-05,0.02518010354484977,11401.595494466115
2020-06-08,0.011180316372670899,11529.068939247465
2020-06-09,0.009671459427502662,11640.571861730277
2020-06-10,0.01782879040183249,11848.109177610535
2020-06-11,-0.05534245103879279,11192.405775546353
2020-06-12,0.008241298751747561,11284.645735293414
2020-06-15,0.01479234582946043,11451.572117572821
2020-06-16,0.01173367626046844,11585.94115747383
2020-06-17,0.001977509793156995,11608.852469575675
2020-06-18,0.001537876762198431,11626.705454024426
2020-06-19,-0.004426748425496741,11575.236953962109
2020-06-22,0.014090710066204602,11738.340261828007
2020-06-23,0.010356979335673889,11859.914009354869
2020-06-24,-0.027598644541297724,11532.596458320328
2020-06-25,0.016185228028630937,11719.254161760424
2020-06-26,-0.03809277240268016,11272.835280247322
2020-06-29,0.01602654625338138,11453.499896272953
2020-06-30,0.023962666372000684,11727.956293079087
2020-07-01,0.016387514382457478,11920.148345508753
2020-07-02,0.011893396996131289,12061.919402034664
2020-07-06,0.036033377114561435,12496.551092573625
2020-07-07,-0.008552765885589187,12389.671016701537
2020-07-08,0.012760307208612176,12547.767025088287
2020-07-09,0.005267995326630457,12613.8686031361
2020-07-10,0.018505833850004972,12847.298759711532
2020-07-13,-0.020182717258803842,12588.005361304893
2020-07-14,0.012929920724413613,12750.767272705058
2020-07-15,0.004030976593635505,12802.165317132223
2020-07-16,-0.010561346167187248,12666.957217528432
2020-07-17,-0.00017515262196869923,12664.738566759417
2020-07-20,0.034791556155470096,13105.364529799175
2020-07-21,-0.013068985655271792,12934.090708752121
2020-07-22,0.005250001616623456,13001.994705882624
2020-07-23,-0.028132909882677342,12636.21076052698
2020-07-24,-0.010020684822421789,12509.587275146043
2020-07-27,0.018800503248882907,12744.773811354611
2020-07-28,-0.014017791185556494,12566.120233359892
2020-07-29,0.01504057296560615,12755.121881624324
2020-07-30,-0.0011672384478773174,12740.233612956728
2020-07-31,0.013370022071029141,12910.570817552027
2020-08-03,0.013879372008626746,13089.761432772553
2020-08-04,0.001501915245349872,13109.421145026428
2020-08-05,0.010856317525205007,13251.74118354847
2020-08-06,0.016732397916084253,13473.474590112566
2020-08-07,-0.008421377246114671,13360.009377773287
2020-08-10,-0.006014840216643313,13279.651056073126
2020-08-11,-0.011681050010255968,13124.530787968388
2020-08-12,0.030028934690635604,13518.646465845526
2020-08-13,0.005521653107221291,13593.291742109088
2020-08-14,0.001420512529306561,13612.601183343273
2020-08-17,0.019952496572450497,13884.206561796067
2020-08-18,0.009369070872493081,14014.288677081868
2020-08-19,-0.002472911971775838,13979.632574836389
2020-08-20,0.01861007532953939,14239.794590133377
2020-08-21,0.010003266900264386,14382.23905602342
2020-08-24,0.008868037933067662,14509.781297534682
2020-08-25,0.009557223465487085,14648.454519830568
2020-08-26,0.024176028734896857,15002.59597722382
2020-08-27,0.0034933254475061903,15055.004927529711
2020-08-28,0.010191404461162588,15208.436571910965
2020-08-31,0.0104918888016324,15368.001797270132
2020-09-01,0.0074134138235784856,15481.931154234791
2020-09-02,0.0089489092043188,15620.477550441554
2020-09-03,-0.054472455112198316,14769.591788244024
2020-09-04,-0.012064952465198597,14591.397365388475
2020-09-08,-0.05818014303070318,13742.467779652348
2020-09-09,0.03804641831360587,14265.31945745825
2020-09-10,-0.018398954437344694,14002.852494726309
2020-09-11,-0.005875548064741909,13920.578061850052
2020-09-14,0.027110087649449523,14297.96615323781
2020-09-15,0.012959632101874197,14483.262534388821
2020-09-16,-0.01632858398496774,14246.771365719716
2020-09-17,-0.016191661708660633,14016.09246332535
2020-09-18,-0.01003582567105059,13875.429402774093
2020-09-21,-0.002404142255451026,13842.070896634355
2020-09-22,0.012531598614815176,14015.53417310879
2020-09-23,-0.039152107377508225,13466.7964742101
2020-09-24,0.009075555507563806,13589.015133120858
2020-09-25,0.02392955018158285,13914.194152667164
2020-09-28,0.018944784289548867,14177.795559452346
2020-09-29,-0.0012391687816162955,14160.226877802936
2020-09-30,0.009608342015620573,14296.28318066365
2020-10-01,0.016529558975448347,14532.594436628138
2020-10-02,-0.022694570986286522,14202.78344057117
2020-10-05,0.01665131624482188,14439.27847919684
2020-10-06,-0.013943680814797224,14237.941788886947
2020-10-07,0.011551053148050137,14402.405011209223
2020-10-08,0.005445006527204644,14480.826200502703
2020-10-09,0.00969557203472392,14621.226094051994
2020-10-12,0.018367164269164883,14889.776555538048
2020-10-13,-0.0042288674772752435,14826.809663718437
2020-10-14,-0.0033603405198911916,14776.98653442473
2020-10-15,-0.010165311160335134,14626.77386829022
2020-10-16,-0.002713797059014943,14587.079772383575
2020-10-19,-0.01766664331080352,14329.37503709864
2020-10-20,0.004919997925584686,14399.87553255609
2020-10-21,0.003907780463009092,14456.147084831973
2020-10-22,-0.000266813469880345,14452.28999006717
2020-10-23,0.0024363974451316666,14487.50151247527
2020-10-26,-0.01667271971792944,14245.95546034469
2020-10-27,0.005083123011630308,14318.36940436783
2020-10-28,-0.04472480040745118,13677.983190597322
2020-10-29,0.015372918867688545,13888.253716459983
2020-10-30,-0.02646968763382311,13520.635978806005
2020-11-02,0.010337069265203593,13660.399729428527
2020-11-03,0.021622450186444445,13955.771042105014
2020-11-04,0.028115902575450227,14348.150141090127
2020-11-05,0.02038609043605394,14640.652827456473
2020-11-06,0.0020393386735266805,14670.510076973182
2020-11-09,0.002910891366584556,14713.214338099633
2020-11-10,-0.007527383954049582,14602.46232457853
2020-11-11,0.012396550199223,14783.482481817427
2020-11-12,-0.007231687407605303,14676.572957713115
2020-11-13,0.00728904487583799,14783.551156625397
2020-11-16,0.003924873864299205,14841.574730181566
2020-11-17,0.003657775559897414,14895.861879500017
2020-11-18,0.001220012492652654,14914.035017081835
2020-11-19,0.0058896420625694675,15001.873345041073
2020-11-20,-0.014068593943801912,14790.818080553345
2020-11-23,0.008316181555701732,14913.821209068583
2020-11-24,0.014019041634600191,15122.898689529498
2020-11-25,0.00595472941653975,15212.95145921939
2020-11-27,0.0020438549772326953,15244.044525777714
2020-11-30,-0.0009815467444183714,15229.081783501668
2020-12-01,0.013145001193586369,15429.26808172302
2020-12-02,0.0015017054365840674,15452.438297483855
2020-12-03,-0.0013570760587187313,15431.46816342151
2020-12-04,0.005082173519863498,15509.893562294268
2020-12-07,0.009314117459705363,15654.354532721005
2020-12-08,0.001768577363915025,15682.040469794276
2020-12-09,-0.02039027084109297,15362.279417274189
2020-12-10,0.0009911097700122991,15377.50512249431
2020-12-11,-0.0027159210528751926,15335.741032591432
2020-12-14,0.002468304819999434,15373.594316100442
2020-12-15,0.00917431463019901,15514.636507353385
2020-12-16,-0.00026139884248725946,15510.580999328753
2020-12-17,0.009366288993383655,15655.85758342375
2020-12-18,0.004076702196252014,15719.681852418304
2020-12-21,-0.003186721079446309,15669.587610897013
2020-12-22,-0.0052729941065207675,15586.96196777314
2020-12-23,-0.0004314432986594509,15580.237077485686
2020-12-24,0.006534762975051799,15682.05023388217
2020-12-28,0.013733422795668164,15897.418460046982
2020-12-29,-0.0010146414281023922,15881.28828067754
2020-12-30,0.0038459278869536714,15942.366570156944
2020-12-31,0.005239267848514273,16025.892898757196
2021-01-04,-0.0066882804888240945,15918.707231966455
2021-01-05,0.006712624391998501,16025.563534420839
2021-01-06,-0.007020801724496631,15913.051230322348
2021-01-07,0.028281559465513646,16363.097134970474
2021-01-08,0.010325625808768588,16532.05635305871
2021-01-11,-0.01563185228364985,16273.629690202722
2021-01-12,-0.002597373249198254,16231.360999778031
2021-01-13,0.004325348397442385,16301.567291066729
2021-01-14,-0.012226603279879587,16102.254494958597
2021-01-15,-0.007114606027858873,15987.693298066648
2021-01-19,0.013278972413465618,16199.993436326626
2021-01-20,0.017210987779396194,16478.811325385544
2021-01-21,0.007531330793827305,16602.91870456609
2021-01-22,0.0002264097753000066,16606.677767659316
2021-01-25,0.010770888080729991,16785.54643528752
2021-01-26,0.005683673612502306,16880.950002633195
2021-01-27,-0.026073424329957122,16440.80583012175
2021-01-28,0.0017887308338881192,16470.214006444057
2021-01-29,-0.02488328368714443,16060.38099893373
2021-02-01,0.021441135956174407,16404.733811439826
2021-02-02,0.013502908796995974,16626.245435934696
2021-02-03,0.008480054030844186,16767.2368955615
2021-02-04,0.009312609073674172,16923.38361801555
2021-02-05,0.003366995436346276,16980.364573424944
2021-02-08,0.00722666689140894,17103.076011891768
2021-02-09,-0.0060243996062094626,17000.040247500758
2021-02-10,-0.00281613047096192,16952.16591615219
2021-02-11,0.0024035873365732758,16992.911927475743
2021-02-12,0.0023738620251869684,17033.250755797722
2021-02-16,-0.0011214001663058632,17014.149665567442
2021-02-17,0.0024182890335348707,17055.294797118604
2021-02-18,-0.00198225556142998,17021.486844155188
2021-02-19,-0.006499735652739735,16910.85167925159
2021-02-22,-0.020342231670195877,16566.847216651935
2021-02-23,-0.007542107189031666,16441.898279159635
2021-02-24,0.011558288957538987,16631.93849048063
2021-02-25,-0.032941703600578624,16084.05410242416
2021-02-26,0.0015409257102048332,16108.83843491491
2021-03-01,0.023409451416451274,16485.93750563251
2021-03-02,-0.012226757979883818,16284.367937679655
2021-03-03,-0.01957891815699504,15965.53763058943
2021-03-04,-0.01900837421163635,15662.058716817224
2021-03-05,0.011327583401956033,15839.471993178302
2021-03-08,-0.011034743124484006,15664.687488506119
2021-03-09,0.03909047287019058,16277.027529795583
2021-03-10,0.0046655610628686724,16352.968995657839
2021-03-11,0.018439828178071976,16654.514934139108
2021-03-12,-0.003829607640399968,16590.734676500175
2021-03-15,0.005493381111876449,16681.873905004213
2021-03-16,0.0008383679568433776,16695.859453546273
2021-03-17,0.003331574281300965,16751.48294950592
2021-03-18,-0.022156628038777264,16380.326572695798
2021-03-19,-0.005957070798041232,16282.747807607215
2021-03-22,0.007367304675176844,16402.707771654925
2021-03-23,-0.001527266590448073,16377.65646408239
2021-03-24,-0.007120670735985957,16261.036564974567
2021-03-25,0.0005278115503741241,16269.619327894618
2021-03-26,0.011198665034284783,16451.817344983036
2021-03-29,-0.0008920418451427435,16437.141635482665
2021-03-30,0.0002278979990776868,16440.88762717195
2021-03-31,0.01013390248707865,16607.497979186726
2021-04-01,0.016087338195872436,16874.66841576517
2021-04-05,0.016485134335243914,17152.849591461756
2021-04-06,-0.0018718204867489209,17120.742536190333
2021-04-07,0.005194715405752437,17209.679921201
2021-04-08,0.0034170992076891114,17268.487104824322
2021-04-09,0.005704280351088175,17366.99139650939
2021-04-12,0.0003504019156188032,17373.076823563264
2021-04-13,-0.0033763467167775784,17314.419292669703
2021-04-14,-0.004585196031376348,17235.02928604337
2021-04-15,0.012143735591356598,17444.326924602363
2021-04-16,0.006273131758456918,17553.757485837996
2021-04-19,-0.0016185124319695434,17525.346511119387
2021-04-20,-0.003921530157406706,17456.62033625703
2021-04-21,0.006943321267926229,17577.827259503876
2021-04-22,-0.010313025170424005,17396.54668453525
2021-04-23,0.007791941001015058,17532.09954992255
2021-04-26,-0.004764938773182769,17448.560169001827
2021-04-27,-0.0009059365186066094,17432.752881147622
2021-04-28,0.008118870553868318,17574.287145187234
2021-04-29,0.01524086326513288,17842.134452549217
2021-04-30,-0.007099261682512404,17715.468471096
2021-05-03,0.0057260213684502065,17816.907622113602
2021-05-04,-0.0038039923315530857,17749.13224214709
2021-05-05,-0.0036854584594193662,17683.718552577917
2021-05-06,0.011312700911574526,17883.769171567696
2021-05-07,0.002439092416382271,17927.389337330394
2021-05-10,-0.007088785689281617,17800.30591634975
2021-05-11,-0.008939481246772607,17641.180415423725
2021-05-12,-0.01601768110817059,17358.60961315776
2021-05-13,0.014937711213533222,17617.907510627574
2021-05-14,0.009792031191110705,17790.42261049374
2021-05-17,-0.0012223691217602142,17768.676147231607
2021-05-18,-0.007948003937307536,17627.450639252667
2021-05-19,-0.0016414967719168394,17598.51523593121
2021-05-20,0.01001074400710037,17774.689466863172
2021-05-21,-0.0006542981893066569,17763.05951972952
2021-05-24,0.008704114285255615,17917.67121984504
2021-05-25,-0.001471193206427257,17891.310863671406
2021-05-26,-0.0020551802029954106,17854.540995778752
2021-05-27,-0.0007862232980483053,17840.50333967191
2021-05-28,-0.0009498040130703549,17823.558358004695
2021-06-01,-0.0013554713523492355,17799.399035253497
2021-06-02,0.00524743776641995,17892.800273970664
2021-06-03,0.00034612206673457764,17898.99336698116
2021-06-04,0.009009199893188801,18060.248976111154
2021-06-07,0.0014373125305247702,18086.207198268916
2021-06-08,-0.005389092162062093,17988.738960815295
2021-06-09,-0.002636752006644416,17941.307117263364
2021-06-10,0.005089084184787074,18032.611939568236
2021-06-11,0.0014490501687147053,18058.742098941635
2021-06-14,0.0015212720436038603,18086.214358439403
2021-06-15,-0.00600639121162181,17977.581479465363
2021-06-16,-0.007797208830216885,17837.40652240773
2021-06-17,0.008405948133524622,17987.346836471686
2021-06-18,-0.014582264821739466,17725.050581461775
2021-06-21,0.009939669601780032,17901.231727916344
2021-06-22,0.007570525870738743,18036.753465830625
2021-06-23,-0.0019291381987088909,18001.958075738996
2021-06-24,0.0050706640179239764,18093.23995680582
2021-06-25,0.0029336388740161096,18146.318988900013
2021-06-28,0.008744106613775582,18304.992336786538
2021-06-29,-0.0006079939850958001,18293.863011548547
2021-06-30,0.0008795587291886561,18309.953538450933
2021-07-01,0.006362496136418317,18426.450547097327
2021-07-02,0.013001482262740786,18666.021717050684
2021-07-06,0.006296713190340931,18783.556302207628
2021-07-07,0.002756109776784699,18835.32584537493
2021-07-08,-0.0076577947076676535,18691.08878679902
2021-07-09,0.005729376005555675,18798.177062411814
2021-07-12,0.003767378206295635,18868.996904994834
2021-07-13,0.004612016975994804,18956.02103904067
2021-07-14,0.006036537860076241,19070.449777719237
2021-07-15,-0.006457504738329169,18947.302257917545
2021-07-16,-0.007552154934925868,18804.209295666882
2021-07-19,-0.009211002466921813,18631.00367745598
2021-07-20,0.009296810311345605,18804.21258455527
2021-07-21,0.008493964893487083,18963.934906098148
2021-07-22,0.008305720161332764,19121.44404258593
2021-07-23,0.016377491277296666,19434.605325602697
2021-07-26,0.0022187640905762976,19477.726130013663
2021-07-27,-0.0057603915386375115,19365.526801222433
2021-07-28,0.004770204884494488,19457.904331760434
2021-07-29,-0.003188731685623325,19395.858295681923
2021-07-30,-0.010651846562937902,19189.25658915983
2021-08-02,-0.0006472275685934334,19176.836773274514
2021-08-03,0.006902751670586916,19309.209715347803
2021-08-04,-0.0010645723608945115,19288.653664374127
2021-08-05,0.00760143467299358,19435.275105133867
2021-08-06,-0.0021797045944087386,19392.91194669361
2021-08-09,0.0009472835672782564,19411.282533502388
2021-08-10,0.0007148145810076277,19425.158001293396
2021-08-11,-0.007296229461958093,19283.427591181167
2021-08-12,0.006849160253426089,19415.50287698851
2021-08-13,0.007475380025512101,19560.641139380423
2021-08-16,0.005745269229407181,19673.02228902598
2021-08-17,-0.006438424487640527,19546.359020574415
2021-08-18,-0.014116750945456249,19270.427938390494
2021-08-19,0.007207770003947623,19409.32475084806
2021-08-20,0.010590115268957635,19614.87173725217
2021-08-23,0.014691565497173409,19903.044910098666
2021-08-24,-0.0038554526517297627,19826.30966282253
2021-08-25,-0.000787573590685675,19810.69498493133
2021-08-26,-0.005676553723172085,19698.23851055599
2021-08-27,0.008287262494821214,19861.482983778566
2021-08-30,0.010625003775304996,20072.51131546437
2021-08-31,-0.0034629492294652505,20003.001227871053
2021-09-01,0.004006593783448743,20083.14512824096
2021-09-02,-0.0005183202133842155,20072.735628172668
2021-09-03,0.0034747364722957806,20142.48309475863
2021-09-07,0.002500214390994437,20192.843620862506
2021-09-08,-0.003043001056461692,20131.396776391255
2021-09-09,-0.004397991537003921,20042.85906374062
2021-09-10,-0.00826045776337855,19877.29587298724
2021-09-13,0.003762006181340527,19952.074382929753
2021-09-14,-0.0024669507237933598,19902.85359858961
2021-09-15,0.0058217571562172235,20018.723178956338
2021-09-16,-0.0010721304766850852,19997.260495731858
2021-09-17,-0.00958549446556366,19805.576865923587
2021-09-20,-0.021295600281049043,19383.805217651287
2021-09-21,0.0046457656278539265,19473.85783366847
2021-09-22,0.007251595466112482,19615.07437284282
2021-09-23,0.00951031666059421,19801.619941449662
2021-09-24,0.004568745865510882,19892.08851068758
2021-09-27,-0.0015911351405542668,19860.437509639207
2021-09-28,-0.02329773398427059,19397.734319728403
2021-09-29,0.001648031886247825,19429.702404408275
2021-09-30,-0.009043536410766363,19253.989183263653
2021-10-01,0.008456687103808003,19416.814145286622
2021-10-04,-0.013632988163370698,19152.104947873562
2021-10-05,0.013903780590691016,19418.39161291868
2021-10-06,0.007766550432265173,19569.205530693893
2021-10-07,0.010826749037959837,19781.076407846973
2021-10-08,-0.0035123786002819184,19711.597778381507
2021-10-11,-0.005937382606005947,19594.56248059556
2021-10-12,-0.002019890789161227,19554.98360432336
2021-10-13,0.0018218829771781133,19590.610496071073
