,ticker,entry_date,exit_date,entry_price,exit_price,return
0,JNJ,2020-05-01,2020-06-01,125.38184356689453,125.31450653076172,-0.0005370557188919176
1,PG,2020-05-01,2020-06-01,101.15270233154297,101.5250244140625,0.0036807922471432395
2,HD,2020-05-01,2020-06-01,190.31146240234375,215.31826782226562,0.1313993655676617
3,MSFT,2020-05-01,2020-10-01,165.82521057128906,202.86842346191406,0.22338709996511624
4,AMZN,2020-05-01,2020-10-01,114.302001953125,161.06300354003906,0.40910046007847395
5,GOOGL,2020-05-01,2020-10-01,65.32608795166016,73.78515625,0.12948989543961925
6,JPM,2020-06-01,2020-10-01,84.5920181274414,84.00425720214844,-0.006948184217658484
7,MA,2020-06-01,2020-12-01,291.8161926269531,328.9250793457031,0.12716527614418097
8,KO,2020-10-01,2020-12-01,41.982730865478516,44.77250671386719,0.06645055695227876
9,MRK,2020-10-01,2020-12-01,65.94552612304688,65.87284088134766,-0.0011022012556787602
10,WMT,2020-10-01,2020-12-01,44.39777755737305,47.36425018310547,0.06681579099086653
11,META,2020-05-01,2021-02-01,200.86688232421875,260.19244384765625,0.295347649333653
12,V,2020-06-01,2021-02-01,186.47976684570312,190.90235900878906,0.023716203842882717
13,PG,2020-10-01,2021-02-01,121.32665252685547,113.68346405029297,-0.06299678032302665
14,AAPL,2020-05-01,2021-03-01,69.84683227539062,124.46688842773438,0.781997613535127
15,ABBV,2021-02-01,2021-03-01,84.4853744506836,89.53138732910156,0.05972646639997392
16,MSFT,2020-12-01,2021-04-01,206.98965454101562,232.54930114746094,0.12348272508170495
17,AMZN,2021-02-01,2021-04-01,167.1439971923828,158.0500030517578,-0.054408140844913556
18,NVDA,2020-05-01,2021-04-01,7.042271137237549,13.777771949768066,0.956438722859602
19,TSLA,2020-05-01,2021-04-01,46.75466537475586,220.5833282470703,3.7178891449444396
20,JNJ,2020-12-01,2021-04-01,127.24950408935547,141.3987274169922,0.11119275810851913
21,MA,2021-03-01,2021-06-01,352.6860656738281,350.0785827636719,-0.007393212162137724
22,PFE,2021-04-01,2021-06-01,28.279050827026367,30.288467407226562,0.07105671942425275
23,JPM,2020-12-01,2021-07-01,104.69225311279297,139.1435546875,0.32907211899996086
24,JNJ,2021-06-01,2021-07-01,144.64013671875,145.01588439941406,0.002597810602147706
25,PG,2021-04-01,2021-07-01,118.36410522460938,119.97303771972656,0.013593077834399668
26,HD,2021-02-01,2021-07-01,239.10137939453125,287.95526123046875,0.20432287743236202
27,AMZN,2021-07-01,2021-09-01,171.64849853515625,173.9499969482422,0.013408205913403637
28,V,2021-03-01,2021-09-01,208.80911254882812,222.43707275390625,0.06526516031186785
29,KO,2021-04-01,2021-09-01,45.55289077758789,49.549644470214844,0.08773874993227353
30,PEP,2021-04-01,2021-09-01,120.9761734008789,136.20407104492188,0.1258751803430107
31,PFE,2021-07-01,2021-09-01,31.122390747070312,36.54833221435547,0.1743420520416133
32,AAPL,2021-07-01,2021-10-01,133.927490234375,139.38494873046875,0.04074935240362618
33,META,2021-04-01,2021-10-01,296.5882873535156,340.6306457519531,0.148496620656977
34,JNJ,2021-09-01,2021-10-01,152.71617126464844,141.05191040039062,-0.07637868843663133
35,AMZN,2021-10-01,2021-11-01,164.16299438476562,165.90550231933594,0.010614498968544751
36,GOOGL,2020-12-01,2021-11-01,89.03215789794922,142.3207244873047,0.5985316749307155
37,PG,2021-09-01,2021-11-01,128.4047088623047,128.12283325195312,-0.0021952124096463856
38,DIS,2021-10-01,2021-11-01,171.96043395996094,166.27432250976562,-0.033066393932916334
39,JPM,2021-09-01,2021-12-01,142.29739379882812,141.51466369628906,-0.0055006636568877805
40,MA,2021-11-01,2021-12-01,325.827392578125,298.7409973144531,-0.08313111752007547
41,PEP,2021-11-01,2021-12-01,140.0469970703125,139.0917205810547,-0.006821113692128671
42,MRK,2021-11-01,2021-12-01,76.93836975097656,65.20140838623047,-0.15255016973630534
43,BAC,2021-10-01,2021-12-01,38.50991439819336,39.18928527832031,0.01764145391501636
44,NFLX,2021-11-01,2021-12-01,68.11699676513672,61.777000427246094,-0.09307510076744206
45,AAPL,2021-12-01,2022-02-01,161.23367309570312,170.86251831054688,0.05971981553213377
46,MSFT,2021-07-01,2022-02-01,261.2181396484375,298.070556640625,0.14107908831211194
47,AMZN,2021-12-01,2022-02-01,172.18600463867188,151.19349670410156,-0.12191762030034077
48,GOOGL,2021-12-01,2022-02-01,139.895263671875,136.51568603515625,-0.024157913198874018
49,META,2021-12-01,2022-02-01,308.4454345703125,316.7871398925781,0.027044346867659892
50,NVDA,2021-06-01,2022-02-01,16.224489212036133,24.590368270874023,0.5156328158936224
51,TSLA,2021-09-01,2022-02-01,244.69667053222656,310.4166564941406,0.2685773607747505
52,HD,2021-09-01,2022-02-01,291.30950927734375,333.24078369140625,0.14394063042460267
53,JNJ,2021-12-01,2022-03-01,139.86129760742188,146.03042602539062,0.044108903059693755
54,PG,2021-12-01,2022-03-01,131.5001983642578,138.450439453125,0.05285346467398399
55,PEP,2022-02-01,2022-03-01,150.6808624267578,141.87640380859375,-0.05843116688055651
56,MRK,2022-02-01,2022-03-01,72.43383026123047,67.49999237060547,-0.0681151041278814
57,WMT,2022-02-01,2022-03-01,44.58212661743164,43.02549362182617,-0.034916077668597
58,V,2022-02-01,2022-04-01,224.9976806640625,219.54440307617188,-0.024237039118784318
59,MA,2022-02-01,2022-04-01,382.9114074707031,355.47686767578125,-0.07164722507521773
60,KO,2022-02-01,2022-04-01,53.74527359008789,56.222434997558594,0.04609077676976529
61,BAC,2022-02-01,2022-04-01,42.162391662597656,36.916786193847656,-0.12441432428045554
62,CVX,2022-03-01,2022-04-01,127.49231719970703,139.8396453857422,0.0968476254666703
63,AMZN,2022-04-01,2022-06-01,163.55999755859375,121.68399810791016,-0.25602836925747646
64,GOOGL,2022-04-01,2022-06-01,139.00164794921875,112.9583969116211,-0.1873592969711553
65,NVDA,2022-04-01,2022-06-01,26.66489601135254,18.287696838378906,-0.31416582946384086
66,TSLA,2022-04-01,2022-06-01,361.5299987792969,246.7899932861328,-0.31737340160037275
67,JNJ,2022-04-01,2022-06-01,158.66566467285156,159.2550811767578,0.003714833358064909
68,PFE,2022-04-01,2022-06-01,41.611602783203125,42.60173034667969,0.023794506754165112
69,ABBV,2022-02-01,2022-06-01,118.41499328613281,127.28408813476562,0.07489841110915675
70,WMT,2022-04-01,2022-06-01,47.96242141723633,39.9891242980957,-0.16624050420180098
71,KO,2022-06-01,2022-07-01,56.40128707885742,57.98872756958008,0.02814546569661039
72,MRK,2022-04-01,2022-07-01,74.50544738769531,83.11958312988281,0.11561752924404474
73,CVX,2022-06-01,2022-07-01,151.37843322753906,125.78521728515625,-0.16906778196015074
74,PFE,2022-07-01,2022-08-01,42.55292510986328,41.489471435546875,-0.024991317790040945
75,CRM,2022-07-01,2022-08-01,166.1808624267578,180.78343200683594,0.08787154770311792
76,XOM,2022-03-01,2022-08-01,68.9869384765625,83.17102813720703,0.20560543740411685
77,PG,2022-08-01,2022-09-01,130.61590576171875,127.63615417480469,-0.022813083671065243
78,HD,2022-08-01,2022-09-01,279.83245849609375,270.1919250488281,-0.03445109083869983
79,KO,2022-08-01,2022-09-01,58.114830017089844,55.845008850097656,-0.03905752053864221
80,PEP,2022-08-01,2022-09-01,156.8121795654297,154.20822143554688,-0.01660558597616019
81,AAPL,2022-08-01,2022-11-01,158.47752380371094,148.02674865722656,-0.06594484123457549
82,MSFT,2022-08-01,2022-11-01,269.5664367675781,221.70980834960938,-0.1775318507445756
83,AMZN,2022-08-01,2022-11-01,135.38999938964844,96.79000091552734,-0.2851022870827515
84,GOOGL,2022-08-01,2022-11-01,113.91845703125,89.7283935546875,-0.21234542765907288
85,META,2022-09-01,2022-11-01,164.21290588378906,94.53961181640625,-0.4242863476071091
86,NVDA,2022-09-01,2022-11-01,13.915366172790527,13.525997161865234,-0.027981226371652897
87,TSLA,2022-08-01,2022-11-01,297.27667236328125,227.82000732421875,-0.23364317316558333
88,V,2022-08-01,2022-11-01,205.38754272460938,201.43890380859375,-0.019225308719478158
89,MA,2022-09-01,2022-11-01,318.58880615234375,326.89276123046875,0.02606480490765953
90,PEP,2022-11-01,2022-12-01,161.26512145996094,166.88534545898438,0.034850834130421886
91,ABBV,2022-11-01,2022-12-01,130.57293701171875,143.65603637695312,0.10019763409365744
92,MRK,2022-11-01,2022-12-01,90.44425964355469,99.54672241210938,0.10064168587843987
93,BAC,2022-11-01,2022-12-01,33.07923126220703,33.59431457519531,0.01557119961178672
94,WMT,2022-11-01,2022-12-01,45.36256790161133,49.10197830200195,0.082433834180225
95,NFLX,2022-11-01,2022-12-01,28.674999237060547,31.69499969482422,0.10531824021325588
96,XOM,2022-11-01,2022-12-01,99.47188568115234,99.27808380126953,-0.0019483080928416896
97,CVX,2022-11-01,2022-12-01,157.86529541015625,159.3221435546875,0.009228425669784822
98,AAPL,2022-12-01,2023-02-01,145.96923828125,143.1346893310547,-0.019418810316278914
99,MSFT,2022-12-01,2023-02-01,248.1763916015625,246.28598022460938,-0.00761720873107103
